sheezy0,i sing my own rhythm.
georgechris24,"george christopher lopez, actor, writer/director of sketch comedy, master grilled cheese maker. $url$"
halansantana,"bola pra frente, outras decepes viro"
Mr_Ndilula_JR,simplicity is the ultimate sophistication $hashtag$ $hashtag$
NWsidhe,"chen taijiquan, homebrewing, charcuterie, bbq, & sounders. mentat. entp. father of shih tzu."
NASCAR_BRETT,"motorsports journalist for $url$ and contributor for $url$ fitness, stats & rule book junkie. opinions are my own."
jiucker,johns hopkins alum - fixed income analyst - $vix tourist
Hudzilla_,"hyan rudson; coffee lover, owner of huge feet, fergalicious, often obsessive, apple fanboy. i have a special bond with becky from greggs."
Rift_Revolt,"$number$, european call of duty player for $mention$ $hashtag$ stun and gun $mention$ psn id: revoltpls"
RickyJarman1,award winning singer/songwriter/model/actor book: rickyjaybooking$mention$.com press: pr$mention$.com~i choose $number$ followback cuz every1 deserves $number$ feel important
MuddzAhmed,"founder $mention$, phd $mention$. cricket, crowdsourcing, creativity fan. i write blogs on supply chain & procurement at $url$u ."
TSxBigworm,indigo kids never die
LionheartMattT,retired police detective and former wrestler. now enjoying life with his wife $mention$. half-brother of $mention$ (fictional character rp account)
The_Prodigee,"today i will do what others won't, so tomorrow i can accomplish what others can't.-jerry rice|new york|"
_ad0nai_,*smirk*
RightOfCenterNC,interests: cigars browns indians buckeyes politics catholicism. love my wife&kids. from steubenville oh. live in greenville nc. attend east carolina university
danisnotadj,australian art-type. pianist ++ composer ++ creative coder by training. angry queer. not a dj.
uncle_chen_,just do it
ReBourneAgain,"the rebirth of $hashtag$: twitter's just like making love, you know left, down, rotate $number$ degrees, engage rotor $hashtag$ $hashtag$."
GaryAllan,platinum selling country music singer/songwriter
demigoddante,"$number$ yrs old, chasing the dream, with a beautiful woman by my side."
JoshuaGreen,"national correspondent $mention$ + $mention$, infrequent columnist $mention$"
ruizdaniel2497,get it gang. ig: _el_patron_24
jedibootyah,"$number$. football. simple life. catholic boy. jazz drummer. track and field athlete. the dream. sr. right winger of weekenders fc, manchester united for life. $smiley$"
W_S__,law firm partner. trial lawyer. a business. man! _
patfc91,$hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$
foxmar320,"that guy that plays destiny and posts the dumb names he finds. fan of loading ready run, desert bus for hope and extra credits!"
OJDBROWN,"adore jesus, daughter & beautiful wife $mention$ | $mention$ team leader wales & sw england | part of $mention$ | active at $mention$ | art, sport, food, blogging"
woontienwei,"artist, curator, cultural worker and entrepreneur of sorts."
Dsalgado15,live life to the fullest
Alan_R_Clark,"labour party councillor for fens & rossmere ward, hartlepool. passionate about new opportunities for our young people!"
GrowMyRevenue,"forbes contributor, bestselling sales author, keynote speaker, business cast host, strategic b2b advisor. i have $number$ children, a dog, and a wife i don't deserve"
davidbaxter58,"writer, cyclist, father, teacher & disillusioned professional sports fan"
kipbot,"ceo rumble fox: big on growth by digital, design, tech, pop sci & fiction. maker in food, piano, code, p-comp, nouns & verbs. defectively apophenic & curious."
TMS_tev1,i will be famous $hashtag$ $hashtag$ $hashtag$
pdacosta,editorial fellow at the peterson institute for international economics $mention$. previously at reuters and the wall street journal.
JairoPeralta94,$mention$ |
JackyParker93,$mention$ | $mention$ | skit
CallMarcus,"what makes people tick? taking unpopular positions and discussing $hashtag$, innovation, media and $hashtag$. $hashtag$ and $hashtag$. representing myself."
micicnorman,"fashion, commercial, landscape, editorial photographer,artist,traveller,porn star"
mikeygcliffo95,i kind of have this thing for alex gaskarth and michael clifford... don't judge me! they are literally the definition of cute
chreriksen,co-founder $mention$. visionary entrepreneur and photographer.
muggy817,former browns fan
iamakhilsharmaa,"writer, foodie, blogger, online business manager, music lover, human being, a panacea, engineer, heliophiliac, indian dr.akhil$mention$.com"
eschmidtwrites,"writing, reading, history"
usacomputertec,i'm me. if you want to know more check out my website. $url$
mamdouh733,apple geek _ $url$ _ $url$u vine _mamdouh733
Sidanddu,"winning isn't a sometimes thing, it is an every time thing"
schillerberg,no limits. no fears. no substitutes. $url$ producer $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ & $hashtag$
Max_Hutchins,i'm max. i do stuff sometimes. i like $mention$
JamesMaloneyVDC,"minister and author. (didn't even need $number$ characters, ha!)"
photosbyjwarb,"teaching assistant, outdoor enthusiast, amateur photographer, loves walking, camping, adventures, challenge and everything outdoors $url$2"
SirJoshuaBurns,"everything i do is in silence. if my business does not concern you, dont bother minding it. part time rapper, check my shit"
DADDYSP00K,you see we're all imperfect in a perfect way _$mention$ | $hashtag$ | $mention$ | ig: blvckbears
aestrad57512644,_____ __ __ __ __ __ ____ __.. ___ __ __ ____ _____
1Antyou,"not afraid to be different, $hashtag$ $hashtag$ $hashtag$ $hashtag$"
twain_86,$hashtag$ & $hashtag$ follow me on my road to success. bookings: $number$ent.iamepic$mention$.com
infoartblog,"infoart is all about tips, advice and ideas for people who want to run their own business. i also illustrate things - $mention$ & $mention$"
luchi7,this is my personal profile-the views e$smiley$ressed here have absolutely nothing to do with where i work.
Yung_Zoro93,labels don't fit me *shrugs* $hashtag$ $hashtag$ $hashtag$ $hashtag$ henshin $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$
MReyes53,"computer nerd, geek, techie whatever you want to call it. love to live life and enjoy life to the fullest. $hashtag$ till i die. t.a.r"
dkernohan,"he and edtech wonk, father, musician. runs $mention$, blogs all over the place (fota, wonkhe). into policy, stories, (un)civilisation. personal account only."
TommyfromMalden,"howard stern superfan & frequent caller! fourth most famous guy from malden behind norman greenbaum, gary cherone (extreme, vh) & comedian paul gilligan !"
mazinmadness,$number$ sudanese aviation enthusiast future university $number$:48
Sarou_Rim,back $number$ back fantasy football champion $number$' & $number$'. fantasy baseball champion $number$.
Mr_bluesky87,"official account for ryan green father, husband,process technician at brose season ticket holder $mention$ $hashtag$"
kalmichael,"kalmichaelisadigitaldesigner. specializinginux strategy, ui design,andiconcreation. loves: $mention$, animals, traveling, pop culture, and tattoos."
MrPryority,i have a strong dislike for folks who come to a complete stop in merge lanes.
methingxdrew,y'aall nice mice
Zaka757,ooh baby it's lit $hashtag$ $hashtag$
chicagomedic,"paramedic who loves video games, technology, and aviation. [not affiliated with cfd, comments are mine and not reflective of my employer] $hashtag$ $hashtag$"
iamdonchinex,$hashtag$
DaRealKhefner,yup.
rogerluethy,"storage geek, $number$ years of e$smiley$erience in storage, works for a independent it solution provider in ch - loves photography, sport and travel - my views are my own"
stevehollis75,cover crawley town and sussex ccc for the argus newspaper. oh and golf and athletics....
TayloredTyler,rest easy rob $number$-15-11| just trying to make it| $hashtag$
pwnage314,"big playstation, witcher $number$, mgs, and halo $number$ & $number$ fan! $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$"
MikeHughesUK,currently rocking a iphone $number$s plus as my daily driver and following the new technology news as it comes!!!!
HaseColsen,just imagine this is all one big joke that isn't very funny
bigdemonskull,"android, pc, student of civil engeneering, male, class $number$, lower nerd, etc : i'm this and more"
ZaynTTT,rihsus christ worshiper & i'm also a worshiper of a song called higher which will be on anti & it will be her $number$th $hashtag$
BUCKETLISTNJH,i luh ya luh ya
PatrickPARAMAN,international trade.investment.project promoter patsco switzerland
omgmadihasaleh,addicted to all things adam_ $hashtag$ adam is bae okay? okay.
TheTeacherTom,"i'm a preschool teacher, blogger, speaker, and artist"
loop243,"composer/percussionist with loop $number$, clogs, record label - music starts from silence"
Moran_2497,bass $number$ / average
HendrixTrog,i'm floating!!!!! i read lots of them comic book things. also talk alot about games and movies. autistic. he/him
MovesLikeJigga,"a funny, loyal, competitive person that is highly motivated to becoming a significant role in an organizations success family first faith in god $hashtag$"
DaleksGamertag,$mention$ support ambassador you may of encountered me in call of duty and called me a camper.
afarran08,when's payday??
trentoncole31,"braves, msu athletics, titans $hashtag$"
abimwachi,"trust me to mobilize and lead from the front.medical doctor, sports enthusiast, love governance issues, keen to details."
DarrenLangley74,"dad of $number$ fantastic kids. fan of wolves, doctor who, cricket, e$smiley$loration & science, esp. astronomy. slightly left of centre and proud to be at least $number$/32 irish!"
berryliciousguy,and on the $number$th day god created stephen curry || mac & cheese + chocolate milk = happiness || howard payne university
Mccxck,day $number$ orbz | my nigg $mention$
VandeirGontijo,"jesus christ follower. my wish is to spread the god's word to the lost and dying world, because it is able to save, heal & bless. jesus is love!"
AdamMar20192838,disillusioned radicl
carlyboy9,lover of playing and watching football supporter of rangers
lukepickard94,birmingham
gabrielRam07,"marketing student - i love hearing about the latest marketing terms. huge sports fan, edm, rock music, gaming, working out, and outdoor adventurer"
JAYDOTLIAS,"e$smiley$tic artist from atl. breaking down doors and taking no prisoners. if you like my music follow me, i will follow back. like my fb page $mention$. god bles"
ChrisAdamTweets,"network engineer with over $number$ years of e$smiley$erience with vmware, cisco, and microsoft technology."
PrentoniaPSV,"$number$. sports journalist, prolific writer. lifelong tranmere rovers diehard. baseball obsessive. root for the story in $hashtag$. for work, see portfolio. pen for hire."
OwenWHU,$mention$ $mention$
fernandlopez,mma factory head coach and general manager diplm d'tat suprieur en performance sportive prparateur physique diplm insep
CatawbaWorm,life is better in flip flops * salt life * coming storms * oysters * dirt roads * dark forests * grave yards * the moody blues * acts $number$:19
faria1109,legends don't need a bio $smiley$ esp those who cross the 'dm' limit \m/
krsafc,life time safc follower hate the scum up the road
johnmcilvanney,"my son james no : $number$,"
jonaskills,zero e$smiley$ectations.
ryanrod42,"idealist, history buff, whiskey connoisseur, geek.. dad"
Djkatunez,"total music fanatic. web advocate. video editor. music evangelist. e$smiley$lorer. blogger contact: +2348180978225, +2348127216654 bbm pin: $number$ccc ig:$mention$"
Omega_Zay,somewhere following clouds.
chitoo98,live the life of a boss ass playa
tristanbaileyyy,"surfer, traveller, in love with life and adventures in life!!"
_sheonmyJohnson,$hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$
lsoffer,tweets are my own
martghogan,"i am a catholic priest of the diocese of dublin. i work in st john the baptist parish, clontarf, on the north shore of dublin bay"
mrLethario,that penalty box striker thriving of that offside rule.... love manchester united $hashtag$ $hashtag$
Someone_Good,"singer, songwriter, designer, visual effects creator, animal lover, astronomer, mad biker, i follow back unless you are selling stuff $smiley$ . . x"
Supreme_Cae,$url$ divergent.
tristanbaileyyy,"surfer, traveller, in love with life and adventures in life!!"
awilson7662,living the dream
xTheMeanDadx,"nomen est omen. husband, dad, veteran, black belt, linguist, smartass, sarcast, gamer, streamer. breaking games since $number$."
